,USDT_BTC_c,USDT_BTC_v,USDT_ETH_c,USDT_ETH_v,USDT_QTUM_c,USDT_QTUM_v,USDT_XRP_c,USDT_XRP_v,USDT_STR_c,USDT_STR_v,USDT_LTC_c,USDT_LTC_v,USDT_BCHABC_c,USDT_BCHABC_v,USDT_ZEC_c,USDT_ZEC_v,USDT_DASH_c,USDT_DASH_v,USDT_EOS_c,USDT_EOS_v,USDC_BTC_c,USDC_BTC_v,BTC_ETH_c,BTC_ETH_v,BTC_LTC_c,BTC_LTC_v,BTC_XRP_c,BTC_XRP_v,ETH_EOS_c,ETH_EOS_v,ETH_ZEC_c,ETH_ZEC_v,ETH_ETC_c,ETH_ETC_v,XMR_LTC_c,XMR_LTC_v,XMR_ZEC_c,XMR_ZEC_v,XMR_DASH_c,XMR_DASH_v
0,7888.00000001,0.0,250.3,0.0,3.0600042,0.0,0.39432331,0.0,0.1347,0.0,90.79999999,0.0,410.00000002,817.95002053,75.11888451,0.0,162.21951905,0.0,6.24285708,0.0,7947.0,0.0,0.03176,0.0,0.01149001,0.0,5.002e-05,0.0,0.02473847,0.0,0.29966833,0.0,0.0292138,0.0,1.01860049,0.0,0.83702209,0.0,1.8168,0.0
1,7889.55337901,18303.5993126,251.78015717,147.71919752,3.0600042,0.0,0.39500003,1925.03681912,0.1351,1999.99999999,90.89999999,699.94661788,410.00000002,0.0,75.11888451,0.0,163.43213749,28.32213572,6.24285714,1.30304035,7942.65534599,2593.33642866,0.03185691,0.47832997,0.011505,1.50491382,4.997e-05,0.06357251,0.02473847,0.0,0.29966833,0.0,0.0292138,0.0,1.01860049,0.0,0.83702209,0.01026404,1.8168,0.0
2,7880.0,17076.72497712,251.56194849,3159.21443391,3.0600042,0.0,0.39465694,33.33621385,0.13499999,517.31197587,90.70182094,245.3676005,410.00000002,0.0,75.11888451,0.0,163.33185601,489.99556803,6.2714259,8.95141063,7934.0,425.11235185,0.031875,0.13837686,0.0114804,0.00039538,5.001e-05,0.86353348,0.02473847,0.0,0.29966833,0.0,0.029191,0.28245359,1.01860049,0.0,0.83702209,0.72424098,1.82067793,0.35838372
3,7817.0,117900.19777987,248.77416677,93183.05508665,3.042,30.63488136,0.3893001,7118.95006398,0.132167,8521.50789876,89.56951168,1433.18782484,410.00000002,0.0,73.84519337,599.71060602,161.71615919,580.71561756,6.18571428,77.26539717,7855.95463506,111631.93425225,0.0318101,2.76787219,0.01147999,0.63320754,4.99e-05,2.26763217,0.02473847,0.0,0.29934718,4.42021191,0.02915714,0.60774141,1.02,0.33281712,0.84122824,0.00279065,1.82513083,0.82969687
4,7847.41170049,23756.53997544,249.69999979,19189.38345159,3.042,0.0,0.39249968,1431.2872531,0.13212463,295.13085699,90.30399534,2304.96265481,410.00000002,0.0,73.84519337,0.0,161.71615919,0.0,6.18571428,0.0,7899.92294979,4927.78759055,0.03182899,0.59216032,0.011495,0.02001689,4.99e-05,1.24418728,0.02473847,0.0,0.29934718,0.0,0.02915384,0.11843613,1.02499999,0.00303986,0.84545552,0.00330832,1.83236666,0.57488448
5,7824.42279056,13246.23834988,248.5,6371.33284662,3.042,0.0,0.389,5707.62459692,0.13212463,0.0,89.99996889,189.21249599,410.00000002,0.0,73.84519337,0.0,161.71615919,0.0,6.18285714,48.65031753,7855.9285367,1062.62480555,0.03178651,0.63663998,0.01147001,0.02720272,4.975e-05,0.7738964,0.02473847,0.0,0.29687074,1.05091829,0.0291219,0.15111872,1.01946479,0.03449451,0.84545552,0.0,1.83381358,0.47737985
6,7845.4,73015.38025037,249.82999997,1225.74097498,3.042,0.0,0.3913525,130.98188665,0.13256022,989.11505613,90.19991054,340.21839809,410.00000002,0.0,73.90652362,289.96686895,162.71604901,97.13580228,6.21428571,12.3328395,7862.42996612,2050.81631339,0.0318266,49.16958609,0.01146992,0.57905876,4.986e-05,0.17620249,0.02473847,0.0,0.29687074,0.0,0.029,7.95493675,1.01946479,0.0,0.84545552,0.0,1.83407908,0.22711324
7,7856.25707088,14156.23638455,251.25999255,21772.62148345,3.06,14.81050098,0.39297783,1941.21215303,0.13223144,28437.95105021,90.19991058,566.38209616,410.0000034,3.00530002,73.90652362,0.0,162.71604667,9.9999994,6.21428571,0.0,7859.00200016,5155.69053034,0.03195003,0.23108209,0.01147106,3.31020801,4.989e-05,0.51121059,0.02473847,0.0,0.29568874,0.57192779,0.02899999,0.87804199,1.02417149,0.30410503,0.84076335,0.31121818,1.83526037,0.35885715
8,7867.63563865,9618.76460326,250.03000014,5149.35723281,3.096,2454.47080997,0.39389034,9330.68572552,0.13388431,7635.57776111,90.75580266,247.72371135,410.0000034,0.0,73.90652362,0.0,162.71604667,0.0,6.21428571,0.0,7904.0398313,37723.45878478,0.03181,2.00936388,0.01149499,5.36107784,4.994e-05,1.98225804,0.02473847,0.0,0.29568874,0.0,0.02930769,0.18409748,1.03042717,0.25644789,0.84076335,0.0,1.84075519,0.14453211
9,7971.0,65549.67751343,253.15523277,84831.15923771,3.222,2083.62043984,0.40300006,45227.71853237,0.13551245,4288.14121406,92.4000067,10670.61197758,410.0000034,0.0,74.9705206,3216.86686548,163.17551307,24.62726431,6.34920962,6551.14427553,8005.66619272,379879.84337727,0.03180558,20.46606875,0.01159211,3.3101088,5.061e-05,24.08891786,0.02486688,0.63698787,0.29697596,0.49933672,0.02946153,0.5790015,1.0444793,0.33705215,0.85581807,1.08501137,1.84194044,0.49087444
10,7921.70104238,26349.50998427,251.89999977,13486.40061334,3.18599879,505.22277943,0.39981469,17801.09892391,0.1337326,5175.42735447,91.68289327,8762.45509384,410.0000069,136.65657339,74.97547456,140.16320344,162.91879751,380.89691914,6.24611407,18.95297129,7927.81867796,213958.71861593,0.03181101,17.13135332,0.01153498,0.74768784,5.027e-05,6.70501431,0.02486688,0.0,0.29846831,0.12894139,0.02930769,0.1187797,1.0444793,0.0,0.85581807,0.0,1.85695387,1.47704057
